,,PPPlot1,PPPlot2,PPPlot3,PPPlot4,PPPlot5,PPPlot6,PPPlot7,PPPlot8,PPPlot9,PPPlot10,PPPlot11,PPPlot12,PPPlot13,PPPlot14,PPPlot15,PPPlot16,PPPlot17,PPPlot18,PPPlot19,PPPlot20,PPPlot21,PPPlot22,PPPlot23,PPPlot24,PPPlot25,PPPlot26,PPPlot27,PPPlot28,PPPlot29,PPPlot30,PPPlot31,PPPlot32,PPPlot33,PPPlot34,PPPlot35,PPPlot36,PPPlot37,PPPlot38,PPPlot39,PPPlot40,PPPlot41,PPPlot42,PPPlot43,PPPlot44,PPPlot45,PPPlot46,PPPlot47,PPPlot48,PPPlot49,PPPlot50,PPPlot51,PPPlot52,PPPlot53,PPPlot54,PPPlot55,PPPlot56,PPPlot57,PPPlot58,PPPlot59,PPPlot60,PPPlot61,PPPlot62,PPPlot63,PPPlot64,PPPlot65,PPPlot66,PPPlot67,PPPlot68,PPPlot69,PPPlot70,PPPlot71,PPPlot72,PPPlot73,PPPlot74,PPPlot75,PPPlot76,PPPlot77,PPPlot78,PPPlot79,PPPlot80,PPPlot81,PPPlot82,PPPlot83,PPPlot84,PPPlot85,PPPlot86,PPPlot87,PPPlot88,PPPlot89,PPPlot90,PPPlot91,PPPlot92,PPPlot93,PPPlot94,PPPlot95,PPPlot96,PPPlot97,PPPlot98,PPPlot99,PPPlot100
2__PSTAT001,Persistent,0.01263284539803489,0.020653699619009425,0.02576699418488069,0.03208341688389813,0.038099057549629035,0.04190896330459194,0.04772408261479848,0.05093242430318829,0.055544415480248646,0.06085823140164427,0.06396631241227191,0.06767595748947262,0.07128534188891117,0.07559655103268498,0.08030880288750752,0.08411870864247042,0.08853017846400642,0.09364347302987769,0.0973531181070784,0.10256667335071185,0.1066773611389613,0.11138961299378383,0.11700421094846601,0.12151594144776419,0.12823340685783036,0.1341487868457991,0.14136755564467615,0.14808502105474233,0.15520352917585722,0.1636254261078805,0.17054341287347102,0.17916583116101864,0.18638459995989573,0.19440545418087027,0.20202526569079607,0.21185081211148987,0.22117505514337277,0.23190294766392622,0.2418287547623822,0.2530579506717465,0.2682975736915982,0.283637457389212,0.3014838580308803,0.31742530579506717,0.33497092440344894,0.35923400842189696,0.3812913575295769,0.40585522358131143,0.4335271706436736,0.46581110888309607,0.5387006216162021,0.5694806496891919,0.5955484259073591,0.6191096851814718,0.6421696410667737,0.6638259474634048,0.682073390816122,0.7000200521355524,0.7142570683777822,0.7269901744535793,0.7397232805293764,0.7518548225386004,0.762682975736916,0.7729095648686585,0.7830358933226389,0.7922598756767596,0.8015841187086424,0.8098054942851414,0.816823741728494,0.8237417284940847,0.8315620613595348,0.8391818728694606,0.8473029877681973,0.8535191497894525,0.8600360938439944,0.8660517345097253,0.8717665931421696,0.8762783236414678,0.88189292159615,0.8865049127732103,0.890715861239222,0.8962301985161419,0.9023460998596351,0.9065570483256467,0.9121716462803289,0.9168838981351514,0.9206938038901143,0.9247042310006016,0.929917786244235,0.9340284740324845,0.9380389011429717,0.9430519350310808,0.9459594946861841,0.9504712251854822,0.95588530178464,0.96139963906156,0.9650090234609986,0.9705233607379186,0.9752356125927412,0.9829556847804292
2__PSTAT001,AR Logit Default,0.021618080576482148,0.03199039196418823,0.041598427775958076,0.04814936128398297,0.05699312151981657,0.06299814390217273,0.06856643738399389,0.07610001091822251,0.0833060377770499,0.09094879353641228,0.09739054481930341,0.10448738945299706,0.1104924118353532,0.11442297194016814,0.12108308767332679,0.1286166612075554,0.13658696364231904,0.14390217272628017,0.15263675073698002,0.15973359537067366,0.16683044000436728,0.1756742002402009,0.18462714270116826,0.19314335626160062,0.20155038759689922,0.21159515230920406,0.2222950103723114,0.2304836772573425,0.24031007751937986,0.25133748225788843,0.2603996069439895,0.2728463806092368,0.2859482476252866,0.29730319903919644,0.30887651490337376,0.32143247079375475,0.33453433780980457,0.34632601812424935,0.3582268806638279,0.37296648105688396,0.38563161917239874,0.400262037340321,0.4179495578119882,0.4312697892783055,0.4421880117916803,0.4562725188339338,0.4697019325253849,0.48149361283982967,0.493940386505077,0.5054045201441205,0.5179604760345016,0.5307347963751501,0.5454743967682061,0.5594497215853259,0.5728791352767769,0.584561633366088,0.5982094115078065,0.6145867452778687,0.6285620700949885,0.6436292171634458,0.6550933508024893,0.6688503111693417,0.6794409870073153,0.6903592095206901,0.7021508898351349,0.7140517523747134,0.7256250682388907,0.7368708374276668,0.7469156021399717,0.7576154602030789,0.7655857626378425,0.7751937984496124,0.7878589365651272,0.7984496124031008,0.8068566437383994,0.8163554973250355,0.8253084397860029,0.8338246533464352,0.8435418713833388,0.8514029915929686,0.8593732940277323,0.8691996942897696,0.8758598100229282,0.8824107435309532,0.8899443170651817,0.8966044327983405,0.9037012774320341,0.909815482039524,0.9174582377988864,0.9243367179823124,0.9292499181133311,0.935364122720821,0.9414783273283109,0.9470466208101321,0.9533791898678895,0.9597117589256469,0.966153510208538,0.9709575281144229,0.9778360082978491,0.9868981329839502
2__PSTAT001,AR Flx Logit,0.020744622775412162,0.03122611638825199,0.04039742329948685,0.045747352331040506,0.05448193034174036,0.061687957200567745,0.06692870400698767,0.07533573534228627,0.08090402882410744,0.08887433125887105,0.09608035811769844,0.10284965607599082,0.10678021618080577,0.11344033191396441,0.11988208319685555,0.12708811005568293,0.13484004804017907,0.1437929905011464,0.1505622884594388,0.15842340866906868,0.16628452887869855,0.17425483131346217,0.18255268042362705,0.1912872584343269,0.20002183644502675,0.21017578338246534,0.22054809477017143,0.23037449503220875,0.23899989081777487,0.24959056665574844,0.25952614914291955,0.27230046948356806,0.2848564253739491,0.2977399279397314,0.30964079047931,0.32154165301888854,0.3338792444590021,0.3468719292499181,0.3591003384648979,0.37351239218255267,0.38694180587400373,0.402008952942461,0.4186046511627907,0.4318157004039742,0.4439349273938203,0.45791025221094006,0.47079375477672236,0.48367725734250466,0.4959056665574844,0.5075881646467955,0.519925756086909,0.5340102631291626,0.5484223168468173,0.5626160061142046,0.5756086909051207,0.587182006769298,0.601048149361284,0.6164428431051425,0.6308548968227973,0.646140408341522,0.6578229064308331,0.6710339556720166,0.6815154492848564,0.6927612184736325,0.7050988099137461,0.7151435746260508,0.7278087127415657,0.738945299705208,0.7497543399934491,0.7596899224806202,0.76842450049132,0.7784692652036248,0.7898242166175347,0.800524074680642,0.8096953815918768,0.8194125996287804,0.8266186264876079,0.8363358445245114,0.8448520580849438,0.8539141827710449,0.8628671252320123,0.8693088765149034,0.8765149033737307,0.8839392946828256,0.8908177748662518,0.8995523528769517,0.9035920952069003,0.9103613931651927,0.9181133311496888,0.9244459002074462,0.9304509225898023,0.9361283982967573,0.9416966917785784,0.9473741674855334,0.9529424609673545,0.9598209411507806,0.9657167813080031,0.9711758925646905,0.9781635549732504,0.9867889507588165
2__PSTAT001,RLS,0.026749645157768315,0.03635768096953816,0.043236161152964296,0.05066055246205918,0.05895840157222404,0.06583688175565018,0.07391636641554755,0.08046729992357245,0.08865596680860356,0.09444262474069222,0.1012119226989846,0.10787203843214324,0.11475051861556938,0.12064635877279178,0.12697892783054918,0.13309313243803908,0.14215525712414018,0.15034392400917132,0.15787749754339994,0.16475597772682607,0.16966917785784474,0.17654765804127087,0.18266186264876078,0.19183316955999563,0.200349383120428,0.2098482367070641,0.22000218364450266,0.22993776613167377,0.23834479746697237,0.2486079266295447,0.2596353313680533,0.27022600720602685,0.2825635986461404,0.2937001856097827,0.3029806747461513,0.31389889725952613,0.3244895730974997,0.3375914401135495,0.3482912981766568,0.35942788514029916,0.36958183207773776,0.38333879244459,0.3975324817119773,0.41281799323070206,0.42602904247188556,0.43934927393820283,0.45179604760345016,0.46391527459329623,0.47756305273501476,0.49350365760454196,0.5058412490446555,0.5188339338355715,0.5319358008516214,0.5465662190195436,0.5580303526585871,0.5718964952505732,0.5857626378425592,0.6007206026858828,0.6165520253302762,0.6321650835244023,0.6434108527131783,0.6556392619281581,0.6679768533682716,0.6823889070859264,0.6931979473741675,0.7036794409870073,0.7155803035265859,0.7256250682388907,0.7363249263019981,0.7460421443389016,0.7576154602030789,0.7673326782399825,0.7768315318266187,0.786657932088656,0.796156785675292,0.8046729992357244,0.8119882083196855,0.8200676929795829,0.8302216399170215,0.8386286712523201,0.8445245114095425,0.8521672671689049,0.859919205153401,0.8684354187138333,0.8762965389234633,0.8833933835571569,0.8914728682170543,0.9011900862539578,0.9079593842122502,0.9149470466208102,0.9208428867780325,0.9251009935582487,0.9311060159406048,0.9374385849983623,0.9444262474069222,0.952287367616552,0.9598209411507806,0.9662626924336718,0.974451359318703,0.9849328529315428
2__PSTAT001,sRLS,0.015613058194125996,0.023474178403755867,0.03133529861338574,0.03679440987007315,0.04214433890162682,0.04858609018451796,0.053717654765804125,0.06081449939949776,0.06703788623212141,0.07282454416421007,0.07817447319576373,0.08538050005459111,0.09302325581395349,0.09990173599737963,0.10678021618080577,0.11322196746369691,0.12086472322305929,0.1288350256578229,0.13374822578884157,0.14335626160061143,0.14990719510863632,0.1571132219674637,0.1659569822032973,0.17392728463806092,0.1809149470466208,0.1901954361829894,0.19893001419368928,0.20744622775412164,0.21912872584343268,0.22982858390654,0.2388907085926411,0.24893547330494595,0.261054700294792,0.27230046948356806,0.28158095861993665,0.2937001856097827,0.3064745059504313,0.31935800851621354,0.33158641773119335,0.34425155584670813,0.3576809695381592,0.37296648105688396,0.38508570804673,0.4022273173927285,0.41532918440877825,0.43006878480183425,0.446227754121629,0.4594388033628125,0.4725406703788623,0.4871710885467846,0.5011464133639043,0.5154492848564254,0.5283327874222077,0.5437274811660662,0.5558467081559122,0.5691669396222295,0.5853259089420242,0.6000655093350803,0.6163336608800087,0.6317283546238672,0.6451577683153182,0.658696364231903,0.6711431378971503,0.6847909160388689,0.6976744186046512,0.7066273610656185,0.7172180369035921,0.7296648105688394,0.7402554864068129,0.7516104378207228,0.7618735669832951,0.7725734250464025,0.7845834698111147,0.7944098700731521,0.8059831859373294,0.8149361283982968,0.8251992575608691,0.8324052844196965,0.8419041380063326,0.8493285293154275,0.8577355606507261,0.8658150453106235,0.8728027077191833,0.8821923790806857,0.8904902281908506,0.8973687083742766,0.9046839174582378,0.9117807620919315,0.9183316955999563,0.92455508243258,0.9302325581395349,0.936237580521891,0.9421334206791134,0.9481384430614695,0.9543618298940932,0.9604760345015831,0.9660443279834043,0.9719401681406267,0.9791461949994541,0.9875532263347527
2__PSTAT001,RMLE,0.011574579602533304,0.022275606027516926,0.03166630268617602,0.03745359248744267,0.04651670670452064,0.05405110286088666,0.06016597510373444,0.06890150687923127,0.07512557326927277,0.08331513430880105,0.0911771129067482,0.09871150906311421,0.10526315789473684,0.1121423891679406,0.11891242629395064,0.12633762830312295,0.1341996069010701,0.14315352697095435,0.1499235640969644,0.15811312513649267,0.16597510373443983,0.17427385892116182,0.1825726141078838,0.19130814588338066,0.20004367765887748,0.21019873334789255,0.22068137147848876,0.230399650578729,0.2390259882070321,0.24972701463201571,0.2595544878794497,0.2723302031011138,0.28488753002839046,0.2977724393972483,0.3096746014413627,0.3215767634854772,0.33391570211836646,0.346909805634418,0.3592487442673073,0.37366237169687705,0.3869840576545097,0.4020528499672418,0.41875955448787944,0.4318628521511247,0.44398340248962653,0.45785105918322777,0.470954356846473,0.48362087792094344,0.495850622406639,0.507534396156366,0.5198733347892553,0.533959379777244,0.5483730072068137,0.5625682463419961,0.5755623498580477,0.5872461236077746,0.6010045861541822,0.6165101550556891,0.6307053941908713,0.6459925747979909,0.6577855426949115,0.6709980345053506,0.6814806726359467,0.6927276697968989,0.7050666084297882,0.7151124699716095,0.7277789910460799,0.7391351823542258,0.7497270146320157,0.7596636820266434,0.7683992138021402,0.7787726577855427,0.7900196549464948,0.8007206813714784,0.8101113780301376,0.8198296571303778,0.8271456649923564,0.8366455557982092,0.8451626992793186,0.8542258134963966,0.8630705394190872,0.869512994103516,0.8766106136711073,0.8839266215330859,0.8908058528062895,0.8995413845817865,0.9035815680279538,0.9103516051539637,0.9181043896047172,0.9244376501419523,0.9304433282376064,0.9361214238916794,0.9416903253985587,0.9473684210526315,0.9529373225595108,0.9598165538327146,0.9657130377811749,0.9711727451408605,0.978161170561258,0.9867875081895611
2__PSTAT001,sRMLE,0.011574579602533304,0.022275606027516926,0.03166630268617602,0.03734439834024896,0.04651670670452064,0.05405110286088666,0.06016597510373444,0.06890150687923127,0.07501637912207906,0.08342432845599476,0.0911771129067482,0.09871150906311421,0.10526315789473684,0.1121423891679406,0.11891242629395064,0.12633762830312295,0.1341996069010701,0.14304433282376064,0.14981436994977068,0.15800393098929896,0.16597510373443983,0.17427385892116182,0.1825726141078838,0.19130814588338066,0.20004367765887748,0.21019873334789255,0.22046298318410132,0.230399650578729,0.2390259882070321,0.24972701463201571,0.2595544878794497,0.2722210089539201,0.28488753002839046,0.2977724393972483,0.3096746014413627,0.32146756933828347,0.33380650797117273,0.34669141734003056,0.3592487442673073,0.3735531775496833,0.3869840576545097,0.4020528499672418,0.41865036034068576,0.4318628521511247,0.44387420834243285,0.4579602533304215,0.47084516269927934,0.4837300720681372,0.495850622406639,0.5076435903035598,0.5198733347892553,0.533959379777244,0.5483730072068137,0.5625682463419961,0.5755623498580477,0.5871369294605809,0.6010045861541822,0.6162917667613016,0.630814588338065,0.6461017689451846,0.6578947368421053,0.6709980345053506,0.681371478488753,0.6927276697968989,0.7050666084297882,0.7151124699716095,0.7277789910460799,0.7389167940598383,0.7497270146320157,0.7596636820266434,0.7683992138021402,0.7787726577855427,0.7900196549464948,0.8007206813714784,0.8101113780301376,0.8198296571303778,0.8271456649923564,0.8366455557982092,0.8451626992793186,0.8541166193492029,0.8630705394190872,0.869512994103516,0.8766106136711073,0.8839266215330859,0.8908058528062895,0.8995413845817865,0.9035815680279538,0.9103516051539637,0.9181043896047172,0.9244376501419523,0.9304433282376064,0.9361214238916794,0.9416903253985587,0.9473684210526315,0.9529373225595108,0.9598165538327146,0.9657130377811749,0.9711727451408605,0.978161170561258,0.9867875081895611
2__PSTAT001,Bayes,0.022382356152418386,0.033955672016595696,0.04225352112676056,0.04880445463478546,0.05721148597008407,0.0643083306037777,0.07107762856207009,0.07872038432143247,0.08428867780325364,0.09324162026422099,0.10001091822251337,0.10612512283000328,0.11245769188776067,0.11715252756851184,0.12479528332787422,0.1322196746369691,0.138770608144994,0.14641336390435636,0.15340102631291624,0.1619172398733486,0.16966917785784474,0.17796702696800962,0.18604651162790697,0.19347090293700187,0.20296975652363794,0.2138879790370128,0.22305928594824762,0.23244895730974996,0.2422753575717873,0.2519925756086909,0.262364886996397,0.27513920733704555,0.2861666120755541,0.29806747461513267,0.30985915492957744,0.32165083524402227,0.3338792444590021,0.3461076536739819,0.35877279178949667,0.37231138770608146,0.3853040724969975,0.40037121956545474,0.4142373621574408,0.430614695927503,0.4421880117916803,0.45561742548313133,0.46850092804891363,0.48149361283982967,0.49295774647887325,0.5040943334425155,0.5164319248826291,0.5289878807730102,0.5431815700403975,0.5577028059831859,0.570695490774102,0.5806310732612731,0.5948247625286603,0.6096735451468501,0.6256141500163773,0.6404629326345671,0.6525821596244131,0.6640462932634567,0.676056338028169,0.6866470138661426,0.6977836008297849,0.7095752811442297,0.7214761436838083,0.7323943661971831,0.7416748553335517,0.7533573534228628,0.7636204825854351,0.7715907850201987,0.7822906430833061,0.7933180478218146,0.8030352658587182,0.8118790260945518,0.8208319685555192,0.828256359864614,0.8377552134512501,0.8465989736870837,0.8559886450485861,0.8637405830330822,0.8707282454416421,0.8780434545256033,0.8856862102849656,0.8931106015940605,0.9007533573534229,0.9056665574844416,0.9124358554427339,0.92018779342723,0.9264111802598537,0.9323070204170761,0.9380936783491648,0.9440987007315209,0.9502129053390108,0.9563271099465007,0.963533136805328,0.9694289769625505,0.9763074571459767,0.9859154929577465
2__PSTAT001,Ada Bayes,0.025442236296134527,0.0398558637257043,0.04990172526752566,0.05776370386547281,0.06671762393535706,0.07501637912207906,0.0838611050447696,0.0912863070539419,0.0975103734439834,0.10679187595544878,0.11236077746232802,0.11913081458833806,0.1237169687704739,0.13157894736842105,0.13965931426075562,0.14763048700589648,0.15669360122297446,0.16499235640969645,0.1717623935357065,0.17951517798645994,0.18846909805634418,0.19665865909587246,0.20506660842978816,0.21554924656038435,0.22483074907184974,0.23345708670015286,0.24273858921161826,0.25322122734221447,0.2626119240008736,0.2735313387202446,0.2859794715003276,0.29602533304214895,0.30694474776152,0.3187377156584407,0.33107665429133,0.341996069010701,0.3546625900851714,0.36678314042367327,0.378576108320594,0.39069665865909586,0.406093033413409,0.41996069010701026,0.4315352697095436,0.443437431753658,0.4550120113561913,0.4678969207250491,0.4789255295916139,0.4896265560165975,0.5010919414719371,0.5115745796025333,0.5232583533522603,0.5361432627211181,0.5493557545315572,0.5616946931644464,0.5733784669141734,0.5844070757807381,0.5977287617383709,0.6129067481982966,0.6262284341559292,0.6408604498798864,0.6518890587464512,0.6640096090849531,0.6740554706267744,0.683664555579821,0.6943655820048046,0.7045206376938196,0.7166411880323215,0.7266870495741429,0.7361869403799957,0.7468879668049793,0.756387857610832,0.764686612797554,0.7736405328674383,0.785433500764359,0.7963529154837301,0.8050884472592269,0.8140423673291112,0.8224503166630268,0.8304214894081677,0.8390478270364709,0.8448351168377375,0.8531338720244594,0.8609958506224067,0.8690762175147412,0.8770473902598821,0.8843633981218607,0.8935357064861323,0.8999781611705613,0.9063114217077964,0.9129722646866127,0.9209434374317537,0.92760428041057,0.9342651233893863,0.939288054160297,0.9451845381087574,0.9527189342651234,0.9606901070102642,0.9664773968115309,0.9734658222319283,0.9837300720681371
2__PSTAT002,Persistent,0.0130420054200542,0.020748644986449863,0.026592140921409213,0.032096883468834686,0.03743224932249323,0.04098915989159892,0.04505420054200542,0.04988143631436314,0.05496273712737127,0.05784214092140921,0.062245934959349596,0.0663109756097561,0.07003726287262872,0.07494918699186992,0.07909891598915988,0.08358739837398374,0.08731368563685638,0.09247967479674797,0.09696815718157181,0.10128726287262872,0.1067920054200542,0.11153455284552846,0.11568428184281843,0.12186653116531165,0.1274559620596206,0.13279132791327913,0.1393970189701897,0.14422425474254744,0.1505758807588076,0.15701219512195122,0.16209349593495934,0.16920731707317074,0.1760670731707317,0.18351964769647697,0.1935128726287263,0.20426829268292682,0.2140921409214092,0.2250169376693767,0.23738143631436315,0.25033875338753386,0.2611788617886179,0.2760840108401084,0.29412262872628725,0.3132621951219512,0.3325711382113821,0.3549288617886179,0.3777947154471545,0.4041327913279133,0.4363143631436314,0.4696815718157182,0.5364159891598916,0.5682588075880759,0.5970528455284553,0.6238990514905149,0.6465108401084011,0.6661585365853658,0.686229674796748,0.7038448509485095,0.7179878048780488,0.7307757452574526,0.7430555555555556,0.7547425474254743,0.7659214092140921,0.7765074525745257,0.7857384823848238,0.7955623306233063,0.8036924119241192,0.8119918699186992,0.8200372628726287,0.8266429539295393,0.8340108401084011,0.8396849593495935,0.8467987804878049,0.853150406504065,0.860010162601626,0.866869918699187,0.8733062330623306,0.8797425474254743,0.8847391598915989,0.8904132791327913,0.8949017615176151,0.8988821138211383,0.9043021680216802,0.9088753387533876,0.9133638211382114,0.9184451219512195,0.9234417344173442,0.9283536585365854,0.9319952574525745,0.9361449864498645,0.9417344173441734,0.9447831978319783,0.9491869918699187,0.9534214092140921,0.9575711382113821,0.962059620596206,0.9668021680216802,0.9717987804878049,0.9775575880758808,0.9843326558265583
