,,CRPS,Skill_Avg
2__PSTAT001,Persistent,0.04374532978162004,1.5862022159957887e-16
2__PSTAT001,AR Logit Default,0.04236908921180946,0.03146028562776607
2__PSTAT001,AR Flx Logit,0.04237164158960097,0.03140193933561898
2__PSTAT001,RLS,0.043625095721307024,0.0027485004893834306
2__PSTAT001,sRLS,0.042489400066807494,0.028710029643901354
2__PSTAT001,RMLE,0.042369571954528486,0.03144925033047976
2__PSTAT001,sRMLE,0.04237229095803547,0.03138709504394842
2__PSTAT001,Bayes,0.04224440821551978,0.03431044121950797
2__PSTAT001,Ada Bayes,0.042084448517113036,0.03796705323284229
2__PSTAT002,Persistent,0.04253579416043222,1.631307006455741e-16
2__PSTAT002,AR Logit Default,0.04075236802136735,0.041927655854698
2__PSTAT002,AR Flx Logit,0.04074302669712273,0.04214726675956057
2__PSTAT002,RLS,0.041540799829864195,0.023391930260317016
2__PSTAT002,sRLS,0.04067200121103234,0.04381704835156531
2__PSTAT002,RMLE,0.04074609199238485,0.042075202858494976
2__PSTAT002,sRMLE,0.040745966675916845,0.04207814899998549
2__PSTAT002,Bayes,0.040551836779436454,0.04664206746705799
2__PSTAT002,Ada Bayes,0.040109295960250195,0.057046030245256694
E_ABRTW-1,Persistent,0.030471054152429445,-2.277208352948956e-16
E_ABRTW-1,AR Logit Default,0.03015571711485576,0.010348740676847818
E_ABRTW-1,AR Flx Logit,0.02966704196976278,0.02638609674101334
E_ABRTW-1,RLS,0.02985618524905679,0.020178786736317275
E_ABRTW-1,sRLS,0.02946421699548324,0.03304241303597712
E_ABRTW-1,RMLE,0.029482920750541198,0.032428592622531796
E_ABRTW-1,sRMLE,0.029702254845670805,0.025230479487606997
E_ABRTW-1,Bayes,0.029565571062067277,0.02971617213610469
E_ABRTW-1,Ada Bayes,0.02955534990469946,0.030051610395532384
E_ASHWW-1,Persistent,0.0399871655272722,0.0
E_ASHWW-1,AR Logit Default,0.0389899126817896,0.024939323213656
E_ASHWW-1,AR Flx Logit,0.03877259532576914,0.030374000894729497
E_ASHWW-1,RLS,0.039059304631869074,0.023203967652328492
E_ASHWW-1,sRLS,0.03882614980013181,0.02903470930812914
E_ASHWW-1,RMLE,0.038741595693979766,0.031149240434232044
E_ASHWW-1,sRMLE,0.03877540827896412,0.030303654493380777
E_ASHWW-1,Bayes,0.038647503899199916,0.03350229030758898
E_ASHWW-1,Ada Bayes,0.03855156625141009,0.035901501317541516
E_BABAW-1,Persistent,0.04208312014696627,1.648854428966918e-16
E_BABAW-1,AR Logit Default,0.04108405390555937,0.023740308178620707
E_BABAW-1,AR Flx Logit,0.04103607504509703,0.024880405687902063
E_BABAW-1,RLS,0.04109191503571579,0.023553508099896387
E_BABAW-1,sRLS,0.04114729933061261,0.02223743897994038
E_BABAW-1,RMLE,0.041033921349965745,0.02493158286116684
E_BABAW-1,sRMLE,0.041038821819956856,0.02481513545959593
E_BABAW-1,Bayes,0.040874660359053835,0.028716021618457755
E_BABAW-1,Ada Bayes,0.0403468173535723,0.04125888924895094
E_BETHW-1,Persistent,0.0420939880330061,0.0
E_BETHW-1,AR Logit Default,0.041948729971997285,0.003450803019540792
E_BETHW-1,AR Flx Logit,0.04190883616985709,0.004398534607930868
E_BETHW-1,RLS,0.0421840052075032,-0.0021384805456427453
E_BETHW-1,sRLS,0.04143487585791611,0.015658107152336682
E_BETHW-1,RMLE,0.04190365592779673,0.004521598311381738
E_BETHW-1,sRMLE,0.04190850519136366,0.0044063974526955966
E_BETHW-1,Bayes,0.041630637449945426,0.011007523988873544
E_BETHW-1,Ada Bayes,0.04139046685393802,0.016713103508188488
E_BNWKW-1,Persistent,0.0463982670113617,0.0
E_BNWKW-1,AR Logit Default,0.04512242199840782,0.02749768677009995
E_BNWKW-1,AR Flx Logit,0.04524024883716474,0.024958220398908396
E_BNWKW-1,RLS,0.04595852350486275,0.009477584720810192
E_BNWKW-1,sRLS,0.045211483688211415,0.025578182108820496
E_BNWKW-1,RMLE,0.045233444736496674,0.025104865976563206
E_BNWKW-1,sRMLE,0.04523876793792285,0.024990137522914877
E_BNWKW-1,Bayes,0.04548505325662464,0.019682066024436617
E_BNWKW-1,Ada Bayes,0.044926258704073095,0.031725501879804094
E_BRDUW-1,Persistent,0.03619726597128888,1.9169663005518294e-16
E_BRDUW-1,AR Logit Default,0.034897172631382305,0.03591689330729559
E_BRDUW-1,AR Flx Logit,0.034884187204994796,0.03627563383752813
E_BRDUW-1,RLS,0.0352803651643366,0.02533066468830987
E_BRDUW-1,sRLS,0.03470489889706374,0.041228723611580795
E_BRDUW-1,RMLE,0.034881788076199544,0.03634191311942626
E_BRDUW-1,sRMLE,0.03488375977706325,0.03628744213078121
E_BRDUW-1,Bayes,0.034832531241647896,0.03770270193123092
E_BRDUW-1,Ada Bayes,0.03470766375876916,0.041152340447515014
E_BRYBW-1,Persistent,0.03249008716611604,0.0
E_BRYBW-1,AR Logit Default,0.02976159790541953,0.0839791302112004
E_BRYBW-1,AR Flx Logit,0.029687224410819765,0.0862682436327651
E_BRYBW-1,RLS,0.03051560280515112,0.060771901006905035
E_BRYBW-1,sRLS,0.029607042798629267,0.08873612289023043
E_BRYBW-1,RMLE,0.029687496234739808,0.08625987726801351
E_BRYBW-1,sRMLE,0.02968765692006213,0.0862549315957689
E_BRYBW-1,Bayes,0.029605309479884396,0.08878947204672881
E_BRYBW-1,Ada Bayes,0.02952477712433312,0.09126814670030944
E_BTUIW-2,Persistent,0.03667748129480185,-1.8918676143911364e-16
E_BTUIW-2,AR Logit Default,0.03572970579130071,0.02584080122305051
E_BTUIW-2,AR Flx Logit,0.03571386620019086,0.0262726626963763
E_BTUIW-2,RLS,0.03610489594967677,0.015611359474845352
E_BTUIW-2,sRLS,0.035503503749323775,0.03200812880366593
E_BTUIW-2,RMLE,0.035707820756147,0.026437489828186934
E_BTUIW-2,sRMLE,0.03571162886010998,0.02633366307049957
E_BTUIW-2,Bayes,0.035653624913846015,0.027915122435109338
E_BTUIW-2,Ada Bayes,0.0355231041599736,0.031473729767584925
E_BURBO,Persistent,0.0393669265078056,0.0
E_BURBO,AR Logit Default,0.03808525049423105,0.03255717749061305
E_BURBO,AR Flx Logit,0.0380622700259503,0.03314092812393203
E_BURBO,RLS,0.039314513814592375,0.0013313890075424691
E_BURBO,sRLS,0.03862941240212128,0.01873435828265852
E_BURBO,RMLE,0.038063052403521695,0.03312105414237443
E_BURBO,sRMLE,0.03806224598809027,0.03314153873446633
E_BURBO,Bayes,0.038169233819271765,0.030423830224499696
E_BURBO,Ada Bayes,0.037661715278237494,0.0433158333869422
E_CLDRW-1,Persistent,0.04189818471510591,-1.656132348236436e-16
E_CLDRW-1,AR Logit Default,0.0402549939129551,0.03921866336988024
E_CLDRW-1,AR Flx Logit,0.04019096329632394,0.040746906587732036
E_CLDRW-1,RLS,0.04105450936920947,0.020136322173219458
E_CLDRW-1,sRLS,0.04010872932019494,0.042709616349220804
E_CLDRW-1,RMLE,0.04017543112083741,0.041117618960884894
E_CLDRW-1,sRMLE,0.04018757234481027,0.040827839724495114
E_CLDRW-1,Bayes,0.04001940702975922,0.044841505619438185
E_CLDRW-1,Ada Bayes,0.03986054065385589,0.048633230177043
E_CLFLW-1,Persistent,0.021829755393282253,1.5893201226713142e-16
E_CLFLW-1,AR Logit Default,0.022635469023079523,-0.036908962802451324
E_CLFLW-1,AR Flx Logit,0.022135684469446474,-0.014014315353178982
E_CLFLW-1,RLS,0.022154099123873672,-0.014857872878008811
E_CLFLW-1,sRLS,0.021538816719791867,0.013327619492242272
E_CLFLW-1,RMLE,0.021777418267446873,0.0023975131600186953
E_CLFLW-1,sRMLE,0.022161711147787998,-0.015206572337860222
E_CLFLW-1,Bayes,0.02186049027869828,-0.0014079354011213936
E_CLFLW-1,Ada Bayes,0.02187813786315985,-0.0022163541920622552
E_DALSW-1,Persistent,0.03733412631553615,0.0
E_DALSW-1,AR Logit Default,0.03675065695524912,0.01562831162448341
E_DALSW-1,AR Flx Logit,0.03655637276945756,0.020832241780757526
E_DALSW-1,RLS,0.03705950592004637,0.007355747210173661
E_DALSW-1,sRLS,0.036408444256090494,0.024794528513191492
E_DALSW-1,RMLE,0.03653456438877735,0.021416382427196932
E_DALSW-1,sRMLE,0.03655093293173113,0.020977948624958193
E_DALSW-1,Bayes,0.03654947911879074,0.021016889215883152
E_DALSW-1,Ada Bayes,0.03642413620667723,0.024374217335849102
E_GDSTW-1,Persistent,0.04028689591300621,0.0
E_GDSTW-1,AR Logit Default,0.039779663969633665,0.012590494548595614
E_GDSTW-1,AR Flx Logit,0.03977266964691288,0.012764107396204602
E_GDSTW-1,RLS,0.040481784250027845,-0.004837511865954391
E_GDSTW-1,sRLS,0.03939208638135653,0.022210932646235446
E_GDSTW-1,RMLE,0.039774941474847225,0.012707716158238543
E_GDSTW-1,sRMLE,0.03977458795614846,0.01271649118770543
E_GDSTW-1,Bayes,0.03960267035792284,0.016983824133804178
E_GDSTW-1,Ada Bayes,0.03916993448785355,0.02772517961087333
E_GFLDW-1,Persistent,0.04316551906917042,0.0
E_GFLDW-1,AR Logit Default,0.04255731465323122,0.014090052177169143
E_GFLDW-1,AR Flx Logit,0.042479118444505304,0.015901595520378082
E_GFLDW-1,RLS,0.044036490630086404,-0.020177483780985012
E_GFLDW-1,sRLS,0.042692510001144185,0.010958030349832289
E_GFLDW-1,RMLE,0.04246980301144644,0.016117402795715947
E_GFLDW-1,sRMLE,0.04247016010579884,0.01610913011974446
E_GFLDW-1,Bayes,0.04243207669370581,0.01699139478177732
E_GFLDW-1,Ada Bayes,0.0422301185369531,0.02167008650396148
E_GLOFW-1,Persistent,0.040294073893894555,0.0
E_GLOFW-1,AR Logit Default,0.040445364575387964,-0.0037546633257237506
E_GLOFW-1,AR Flx Logit,0.04040792025928943,-0.0028253873186082855
E_GLOFW-1,RLS,0.04106673572982701,-0.019175570034618204
E_GLOFW-1,sRLS,0.04025615154956685,0.0009411394942980448
E_GLOFW-1,RMLE,0.0404040501628449,-0.002729341025182606
E_GLOFW-1,sRMLE,0.04040651154370001,-0.00279042645579923
E_GLOFW-1,Bayes,0.040324095545313764,-0.0007450636909602064
E_GLOFW-1,Ada Bayes,0.040089923584022316,0.005066509542068727
E_HBHDW-1,Persistent,0.03479650093426614,0.0
E_HBHDW-1,AR Logit Default,0.032380751537280254,0.06942506666257797
E_HBHDW-1,AR Flx Logit,0.03239737360080343,0.06894737312797304
E_HBHDW-1,RLS,0.03326275125411154,0.04407769858963686
E_HBHDW-1,sRLS,0.03263532304035099,0.0621090579767724
E_HBHDW-1,RMLE,0.03239746589215101,0.06894472081107027
E_HBHDW-1,sRMLE,0.032397517048739465,0.06894325064633881
E_HBHDW-1,Bayes,0.03245739535699379,0.06722243658036592
E_HBHDW-1,Ada Bayes,0.03235172616611837,0.07025921292391364
E_HLGLW-1,Persistent,0.03502973122862293,1.9808584481052e-16
E_HLGLW-1,AR Logit Default,0.031432032980466984,0.10270413508671904
E_HLGLW-1,AR Flx Logit,0.031345628177545805,0.10517074844316346
E_HLGLW-1,RLS,0.032747916214716975,0.06513938114493664
E_HLGLW-1,sRLS,0.031374605892030255,0.1043435164471391
E_HLGLW-1,RMLE,0.031345460980929746,0.10517552143485351
E_HLGLW-1,sRMLE,0.031346453890090435,0.10514717667953097
E_HLGLW-1,Bayes,0.03132046225430282,0.10588916455314547
E_HLGLW-1,Ada Bayes,0.03131687107375884,0.10599168262616583
E_HLTWW-1,Persistent,0.03892356892299305,1.7826972438306557e-16
E_HLTWW-1,AR Logit Default,0.03699260342053595,0.04960915856090568
E_HLTWW-1,AR Flx Logit,0.03694726284405466,0.05077402030755059
E_HLTWW-1,RLS,0.03725053614070497,0.04298251235897814
E_HLTWW-1,sRLS,0.03702646133516911,0.048739302184165306
E_HLTWW-1,RMLE,0.036936102234000255,0.051060751724098914
E_HLTWW-1,sRMLE,0.036945063169440254,0.05083053297263429
E_HLTWW-1,Bayes,0.03699764365907481,0.049479667903231626
E_HLTWW-1,Ada Bayes,0.036954435553587725,0.050589743538191276
E_HYWDW-1,Persistent,0.040233355386585096,0.0
E_HYWDW-1,AR Logit Default,0.0379758920342455,0.05610924892166206
E_HYWDW-1,AR Flx Logit,0.03808284427467655,0.05345095111370167
E_HYWDW-1,RLS,0.038517197474702426,0.042655102846701265
E_HYWDW-1,sRLS,0.037995582763070516,0.05561983588027346
E_HYWDW-1,RMLE,0.03806018342182462,0.054014186584225826
E_HYWDW-1,sRMLE,0.03806028605136355,0.0540116357271585
E_HYWDW-1,Bayes,0.038109037583454825,0.05279991645535428
E_HYWDW-1,Ada Bayes,0.0377846442192334,0.06086271313498654
E_MINSW-1,Persistent,0.037205541246593275,0.0
E_MINSW-1,AR Logit Default,0.03532772917804157,0.05047130093084313
E_MINSW-1,AR Flx Logit,0.035317006434464754,0.0507595037957268
E_MINSW-1,RLS,0.03629729484366424,0.024411589577727093
E_MINSW-1,sRLS,0.03559908596325566,0.04317785011351533
E_MINSW-1,RMLE,0.03531251236809861,0.050880294038673585
E_MINSW-1,sRMLE,0.03531336395150833,0.050857405420978836
E_MINSW-1,Bayes,0.035267451402120044,0.05209142991974865
E_MINSW-1,Ada Bayes,0.03515263958500774,0.055177309422249195
E_TLYMW-1,Persistent,0.03382012116798992,2.0517058083383666e-16
E_TLYMW-1,AR Logit Default,0.034812775805800576,-0.02935100772939202
E_TLYMW-1,AR Flx Logit,0.03403097386345856,-0.006234534004810114
E_TLYMW-1,RLS,0.03444569862135486,-0.018497197282575904
E_TLYMW-1,sRLS,0.03393629815012102,-0.0034351438764522665
E_TLYMW-1,RMLE,0.03388482751953727,-0.0019132501396411563
E_TLYMW-1,sRMLE,0.03402278693235971,-0.005992461214526918
E_TLYMW-1,Bayes,0.03388663162432988,-0.00196659426527725
E_TLYMW-1,Ada Bayes,0.03387491653178054,-0.0016202001027268579
E_TULWW-1,Persistent,0.042427831345256996,3.2709161340073653e-16
E_TULWW-1,AR Logit Default,0.041132889553544785,0.03052104598923804
E_TULWW-1,AR Flx Logit,0.04099873411598947,0.03368301381322658
E_TULWW-1,RLS,0.04138580615834297,0.02455994459001566
E_TULWW-1,sRLS,0.040809318984640526,0.03814742138116415
E_TULWW-1,RMLE,0.041000867951078115,0.033632720526462025
E_TULWW-1,sRMLE,0.04100116504866186,0.033625718104364946
E_TULWW-1,Bayes,0.04104109146621343,0.03268467501341197
E_TULWW-1,Ada Bayes,0.040868381187916664,0.03675535863830279
E_TULWW-2,Persistent,0.039110823765973995,-1.7741620440999237e-16
E_TULWW-2,AR Logit Default,0.03770554366338445,0.035930721147635736
E_TULWW-2,AR Flx Logit,0.03768218879703836,0.03652786700387858
E_TULWW-2,RLS,0.03807429922913236,0.02650224252610594
E_TULWW-2,sRLS,0.037491402877979196,0.041405951909498556
E_TULWW-2,RMLE,0.03768430009858534,0.03647388446544844
E_TULWW-2,sRMLE,0.03768465580063453,0.0364647897439637
E_TULWW-2,Bayes,0.03756145976987525,0.039614711399831644
E_TULWW-2,Ada Bayes,0.03750307474242356,0.041107521364690765
T_ABRBO-1,Persistent,0.051788930588295846,0.0
T_ABRBO-1,AR Logit Default,0.052091183114919115,-0.005836238037546519
T_ABRBO-1,AR Flx Logit,0.05196775483988229,-0.003452943506558021
T_ABRBO-1,RLS,0.052774570012952826,-0.019031855137007433
T_ABRBO-1,sRLS,0.05194774817798988,-0.0030666319595702867
T_ABRBO-1,RMLE,0.05197087447962925,-0.003513181084579599
T_ABRBO-1,sRMLE,0.05197055178275391,-0.0035069500836363383
T_ABRBO-1,Bayes,0.05189823146035489,-0.0021105064502672777
T_ABRBO-1,Ada Bayes,0.05106799994832231,0.013920554678077526
T_ACHRW-1,Persistent,0.039576182946788274,0.0
T_ACHRW-1,AR Logit Default,0.03916505164949334,0.010388351444799916
T_ACHRW-1,AR Flx Logit,0.039099873914306305,0.01203524435700092
T_ACHRW-1,RLS,0.04039747859188205,-0.020752270278264096
T_ACHRW-1,sRLS,0.038814733992886,0.019240080705258324
T_ACHRW-1,RMLE,0.039096735973384096,0.012114532976785896
T_ACHRW-1,sRMLE,0.0390984959769247,0.01207006169609245
T_ACHRW-1,Bayes,0.03891034790831345,0.016824134843172352
T_ACHRW-1,Ada Bayes,0.03878159116767907,0.020077524408494994
T_AKGLW-2,Persistent,0.03902600026836006,-1.7780182073982274e-16
T_AKGLW-2,AR Logit Default,0.037607534682378846,0.03634668109022732
T_AKGLW-2,AR Flx Logit,0.03758338798005588,0.03696541481023252
T_AKGLW-2,RLS,0.038212873700132995,0.020835508702804328
T_AKGLW-2,sRLS,0.037239698359513004,0.045772098000400954
T_AKGLW-2,RMLE,0.037584524789542,0.03693628526894452
T_AKGLW-2,sRMLE,0.03758395686391407,0.03695083776276992
T_AKGLW-2,Bayes,0.037508328042628596,0.03888874635615418
T_AKGLW-2,Ada Bayes,0.03714824203772004,0.048115569562028324
T_ANSUW-1,Persistent,0.032835893244268326,0.0
T_ANSUW-1,AR Logit Default,0.031090952180585642,0.053141269850707426
T_ANSUW-1,AR Flx Logit,0.03108838504741599,0.05321945055225112
T_ANSUW-1,RLS,0.03152480921762255,0.039928380108088864
T_ANSUW-1,sRLS,0.030793085348674563,0.06221264883513853
T_ANSUW-1,RMLE,0.031089170846844955,0.05319551944055216
T_ANSUW-1,sRMLE,0.03108914340500792,0.053196355167384114
T_ANSUW-1,Bayes,0.03098598849164551,0.056337884243356916
T_ANSUW-1,Ada Bayes,0.030870180815347585,0.05986474661425164
T_ARCHW-1,Persistent,0.027171498548442665,-2.5537398651518e-16
T_ARCHW-1,AR Logit Default,0.026290923268036084,0.03240804988494258
T_ARCHW-1,AR Flx Logit,0.026266779493430443,0.033296619742898555
T_ARCHW-1,RLS,0.02630163385187381,0.03201386537507353
T_ARCHW-1,sRLS,0.025480977677735713,0.06221669620808741
T_ARCHW-1,RMLE,0.026144001594064558,0.037815247935119554
T_ARCHW-1,sRMLE,0.026270177237787597,0.033171571639603964
T_ARCHW-1,Bayes,0.026077782404102603,0.04025233066884866
T_ARCHW-1,Ada Bayes,0.02591403179450495,0.04627888858230757
T_BEATO-1,Persistent,0.03774043389474024,0.0
T_BEATO-1,AR Logit Default,0.03461297067280932,0.08286770710303835
T_BEATO-1,AR Flx Logit,0.034610124752768666,0.0829431148222128
T_BEATO-1,RLS,0.03524409306045114,0.0661449956100532
T_BEATO-1,sRLS,0.034513148200016996,0.08551268127240629
T_BEATO-1,RMLE,0.03460985941435834,0.08295014543587947
T_BEATO-1,sRMLE,0.03461085977741445,0.08292363903537268
T_BEATO-1,Bayes,0.034582739248124564,0.08366874253281309
T_BEATO-1,Ada Bayes,0.034530877520430055,0.08504291135766427
T_BEATO-2,Persistent,0.04308266005949796,0.0
T_BEATO-2,AR Logit Default,0.042042405874836666,0.024145542156047937
T_BEATO-2,AR Flx Logit,0.04199466030433899,0.02525377387692453
T_BEATO-2,RLS,0.04325889407456007,-0.004090601992048149
T_BEATO-2,sRLS,0.04183087274095521,0.029055478858872767
T_BEATO-2,RMLE,0.041992993075381804,0.0252924722524399
T_BEATO-2,sRMLE,0.04199279696695512,0.02529702416326468
T_BEATO-2,Bayes,0.042086463117437654,0.023122920931171288
T_BEATO-2,Ada Bayes,0.04190035519017134,0.027442708219358663
T_BEATO-3,Persistent,0.03961492873656945,0.0
T_BEATO-3,AR Logit Default,0.03871484634896099,0.02272078775135031
T_BEATO-3,AR Flx Logit,0.038697392366073176,0.02316137879731378
T_BEATO-3,RLS,0.038855862107475284,0.019161125699399692
T_BEATO-3,sRLS,0.03853655153898169,0.027221485232467153
T_BEATO-3,RMLE,0.038697052513320604,0.02316995770338305
T_BEATO-3,sRMLE,0.038696759041886596,0.02317736580541347
T_BEATO-3,Bayes,0.03861023783962094,0.025361421287148696
T_BEATO-3,Ada Bayes,0.037926358540635884,0.04262459254091275
T_BEATO-4,Persistent,0.04197097786617936,0.0
T_BEATO-4,AR Logit Default,0.04005788606168397,0.04558130169363946
T_BEATO-4,AR Flx Logit,0.04011318962083323,0.044263639776740804
T_BEATO-4,RLS,0.04082539735908782,0.027294587005909532
T_BEATO-4,sRLS,0.040265321946978315,0.0406389368539225
T_BEATO-4,RMLE,0.04011453437886574,0.04423159958847565
T_BEATO-4,sRMLE,0.04011441121283472,0.04423453414080875
T_BEATO-4,Bayes,0.04016138855679974,0.04311525252400195
T_BEATO-4,Ada Bayes,0.03982510898178941,0.05112744552275749
T_BEINW-1,Persistent,0.040004575891497064,0.0
T_BEINW-1,AR Logit Default,0.03881382246805291,0.02976543050159547
T_BEINW-1,AR Flx Logit,0.03874934922263708,0.031377077268972715
T_BEINW-1,RLS,0.03964207701535666,0.009061435299891651
T_BEINW-1,sRLS,0.0387614377781182,0.031074897950439075
T_BEINW-1,RMLE,0.038750378039606403,0.03135135978674978
T_BEINW-1,sRMLE,0.038750215753313985,0.031355416479985534
T_BEINW-1,Bayes,0.038756151142626344,0.031207048720045847
T_BEINW-1,Ada Bayes,0.03862265074359212,0.03454417693748558
T_BHLAW-1,Persistent,0.03775169736527968,0.0
T_BHLAW-1,AR Logit Default,0.03625612459830478,0.039616040373071607
T_BHLAW-1,AR Flx Logit,0.03624098236360658,0.040017141138202435
T_BHLAW-1,RLS,0.03650177169907464,0.03310912497816855
T_BHLAW-1,sRLS,0.035964979168413395,0.04732815532976632
T_BHLAW-1,RMLE,0.036241555248318826,0.04000196606655725
T_BHLAW-1,sRMLE,0.036242838674678916,0.039967969545879715
T_BHLAW-1,Bayes,0.0360051936852975,0.046262918010898456
T_BHLAW-1,Ada Bayes,0.0359096032607724,0.04879500083621295
T_BLKWW-1,Persistent,0.04129012955302344,0.0
T_BLKWW-1,AR Logit Default,0.04057820854926702,0.017241917413753746
T_BLKWW-1,AR Flx Logit,0.04017453473495321,0.027018438308303767
T_BLKWW-1,RLS,0.04127651932448574,0.00032962426335383796
T_BLKWW-1,sRLS,0.04016038490933661,0.027361130999505504
T_BLKWW-1,RMLE,0.04017658546859945,0.026968771870623767
T_BLKWW-1,sRMLE,0.04017645038144296,0.026972043527989608
T_BLKWW-1,Bayes,0.04020390392379324,0.026307149940890916
T_BLKWW-1,Ada Bayes,0.03988583963826128,0.034010305367504705
T_BLLA-1,Persistent,0.031178731675147137,0.0
T_BLLA-1,AR Logit Default,0.02930082007245088,0.06023053221863922
T_BLLA-1,AR Flx Logit,0.029241259016641687,0.062140842632474
T_BLLA-1,RLS,0.029582827601313384,0.05118566369092762
T_BLLA-1,sRLS,0.02918983521142315,0.06379016582349804
T_BLLA-1,RMLE,0.02921326817552411,0.06303859695452965
T_BLLA-1,sRMLE,0.029238810844043468,0.06221936322862033
T_BLLA-1,Bayes,0.029140088666508933,0.06538569400060702
T_BLLA-1,Ada Bayes,0.029064438302948466,0.06781203912422115
T_BLLA-2,Persistent,0.03297886141134631,0.0
T_BLLA-2,AR Logit Default,0.031840928551837414,0.034504916507438685
T_BLLA-2,AR Flx Logit,0.03179918029832713,0.035770825993808035
T_BLLA-2,RLS,0.032087273255510834,0.027035140622796824
T_BLLA-2,sRLS,0.031782050497068115,0.03629024360029707
T_BLLA-2,RMLE,0.03179105923405863,0.03601707658952163
T_BLLA-2,sRMLE,0.03179690152320293,0.03583992404712707
T_BLLA-2,Bayes,0.031623761266734295,0.041089961466826
T_BLLA-2,Ada Bayes,0.03149906615879279,0.04487102311071292
T_BOWLW-1,Persistent,0.035850854999047506,0.0
T_BOWLW-1,AR Logit Default,0.035382358827513415,0.013067921854207895
T_BOWLW-1,AR Flx Logit,0.035305688377946884,0.015206516584196002
T_BOWLW-1,RLS,0.03578939064575052,0.0017144459539003762
T_BOWLW-1,sRLS,0.03489090166400921,0.026776302407956504
T_BOWLW-1,RMLE,0.0352980653472343,0.015419148353027904
T_BOWLW-1,sRMLE,0.03530161429960835,0.015320156226504254
T_BOWLW-1,Bayes,0.03506342511802335,0.021964047469581305
T_BOWLW-1,Ada Bayes,0.03479111364166538,0.02955972339879432
T_BRBEO-1,Persistent,0.037797004977735055,0.0
T_BRBEO-1,AR Logit Default,0.03522824007954633,0.06796212820835669
T_BRBEO-1,AR Flx Logit,0.0352968016822335,0.06614818547063026
T_BRBEO-1,RLS,0.03594849023062784,0.0489063815557902
T_BRBEO-1,sRLS,0.03528728131321919,0.06640006704219709
T_BRBEO-1,RMLE,0.035289920087491815,0.06633025266737615
T_BRBEO-1,sRMLE,0.03529502881051462,0.06619509055530365
T_BRBEO-1,Bayes,0.035385919705857846,0.06379037898101973
T_BRBEO-1,Ada Bayes,0.03526610535593141,0.06696032194335277
T_CGTHW-1,Persistent,0.033550804632648326,0.0
T_CGTHW-1,AR Logit Default,0.03150240386268218,0.06105370027319238
T_CGTHW-1,AR Flx Logit,0.031497286291567485,0.06120623226670875
T_CGTHW-1,RLS,0.03284632434354513,0.02099741859596603
T_CGTHW-1,sRLS,0.03134017810899079,0.06588892719152169
T_CGTHW-1,RMLE,0.03149129578913677,0.06138478245339736
T_CGTHW-1,sRMLE,0.03149155021335764,0.061377199200964204
T_CGTHW-1,Bayes,0.03146841847845578,0.06206665315460643
