,,,DM_n,DM_mean,DM_std,DM_statistics
2__PSTAT001,Persistent,Persistent,0.0,1.0,1.0,0.0
2__PSTAT001,Persistent,AR Logit Default,13056.0,0.0029695921914072057,0.00013012655753472856,22.819926387789753
2__PSTAT001,Persistent,AR Flx Logit,13056.0,0.0029694404166990427,0.00013008223632858504,22.826534805589706
2__PSTAT001,Persistent,RLS,13056.0,0.0008976153243340449,0.0002023201974428788,4.436437683600685
2__PSTAT001,Persistent,sRLS,13056.0,0.002753820447409078,0.0001392007877226452,19.78232327968701
2__PSTAT001,Persistent,RMLE,13056.0,0.002969313593111619,0.0001300861546914336,22.82487235829177
2__PSTAT001,Persistent,sRMLE,13056.0,0.0029694490445632275,0.00013008222362297848,22.826603358836127
2__PSTAT001,Persistent,Bayes,13056.0,0.0028783820498103976,0.0001325987398315629,21.706630237969847
2__PSTAT001,Persistent,Ada Bayes,13056.0,0.003035355365285447,0.0001328582549423766,22.845694614019788
2__PSTAT001,AR Logit Default,Persistent,13056.0,-0.0029695921914072057,0.00013012655753472856,-22.819926387789753
2__PSTAT001,AR Logit Default,AR Logit Default,0.0,1.0,1.0,0.0
2__PSTAT001,AR Logit Default,AR Flx Logit,13056.0,-1.5177470816300153e-07,8.30478002798429e-08,-1.8274884474940478
2__PSTAT001,AR Logit Default,RLS,13056.0,-0.0020719768670731603,0.0001617680442715257,-12.8078294157542
2__PSTAT001,AR Logit Default,sRLS,13056.0,-0.0002157717439981281,2.993980694965982e-05,-7.206575542899144
2__PSTAT001,AR Logit Default,RMLE,13056.0,-2.7859829558574507e-07,8.088166178422675e-08,-3.444385536562785
2__PSTAT001,AR Logit Default,sRMLE,13056.0,-1.431468439776124e-07,8.332833852082382e-08,-1.7177993031021939
2__PSTAT001,AR Logit Default,Bayes,13056.0,-9.121014159680756e-05,1.2055648571970468e-05,-7.5654700740488785
2__PSTAT001,AR Logit Default,Ada Bayes,13056.0,6.576317387824144e-05,1.605175723541322e-05,4.096788554778742
2__PSTAT001,AR Flx Logit,Persistent,13056.0,-0.0029694404166990427,0.00013008223632858504,-22.826534805589706
2__PSTAT001,AR Flx Logit,AR Logit Default,13056.0,1.5177470816300153e-07,8.30478002798429e-08,1.8274884474940478
2__PSTAT001,AR Flx Logit,AR Flx Logit,0.0,1.0,1.0,0.0
2__PSTAT001,AR Flx Logit,RLS,13056.0,-0.002071825092364998,0.00016177001814172287,-12.8067349614764
2__PSTAT001,AR Flx Logit,sRLS,13056.0,-0.00021561996928996514,2.9947190581605273e-05,-7.1997308408414185
2__PSTAT001,AR Flx Logit,RMLE,13056.0,-1.2682358742274354e-07,1e-08,-12.681873042154768
2__PSTAT001,AR Flx Logit,sRMLE,13056.0,8.627864185389091e-09,1e-08,0.8627533761470974
2__PSTAT001,AR Flx Logit,Bayes,13056.0,-9.105836688864455e-05,1.2071308308314791e-05,-7.543082926328069
2__PSTAT001,AR Flx Logit,Ada Bayes,13056.0,6.591494858640445e-05,1.6062594395571808e-05,4.103473112656069
2__PSTAT001,RLS,Persistent,13056.0,-0.0008976153243340449,0.0002023201974428788,-4.436437683600685
2__PSTAT001,RLS,AR Logit Default,13056.0,0.0020719768670731603,0.0001617680442715257,12.8078294157542
2__PSTAT001,RLS,AR Flx Logit,13056.0,0.002071825092364998,0.00016177001814172287,12.8067349614764
2__PSTAT001,RLS,RLS,0.0,1.0,1.0,0.0
2__PSTAT001,RLS,sRLS,13056.0,0.0018562051230750327,0.00016046291167600476,11.56737102698914
2__PSTAT001,RLS,RMLE,13056.0,0.0020716982687775747,0.00016176964948939047,12.805980200010987
2__PSTAT001,RLS,sRMLE,13056.0,0.002071833720229183,0.00016177008796963756,12.806782765531292
2__PSTAT001,RLS,Bayes,13056.0,0.001980766725476353,0.00016162397702884437,12.254932120015193
2__PSTAT001,RLS,Ada Bayes,13056.0,0.002137740040951402,0.00016157419895098307,13.230195075418607
2__PSTAT001,sRLS,Persistent,13056.0,-0.002753820447409078,0.0001392007877226452,-19.78232327968701
2__PSTAT001,sRLS,AR Logit Default,13056.0,0.0002157717439981281,2.993980694965982e-05,7.206575542899144
2__PSTAT001,sRLS,AR Flx Logit,13056.0,0.00021561996928996514,2.9947190581605273e-05,7.1997308408414185
2__PSTAT001,sRLS,RLS,13056.0,-0.0018562051230750327,0.00016046291167600476,-11.56737102698914
2__PSTAT001,sRLS,sRLS,0.0,1.0,1.0,0.0
2__PSTAT001,sRLS,RMLE,13056.0,0.00021549314570254238,2.9945416141464785e-05,7.195922470355661
2__PSTAT001,sRLS,sRMLE,13056.0,0.00021562859715415044,2.9947253408866797e-05,7.200003827291205
2__PSTAT001,sRLS,Bayes,13056.0,0.00012456160240132056,2.390361225439911e-05,5.210795368600608
2__PSTAT001,sRLS,Ada Bayes,13056.0,0.00028153491787636953,2.5870250741200397e-05,10.882157218535143
2__PSTAT001,RMLE,Persistent,13056.0,-0.002969313593111619,0.0001300861546914336,-22.82487235829177
2__PSTAT001,RMLE,AR Logit Default,13056.0,2.7859829558574507e-07,8.088166178422675e-08,3.444385536562785
2__PSTAT001,RMLE,AR Flx Logit,13056.0,1.2682358742274354e-07,1e-08,12.681873042154768
2__PSTAT001,RMLE,RLS,13056.0,-0.0020716982687775747,0.00016176964948939047,-12.805980200010987
2__PSTAT001,RMLE,sRLS,13056.0,-0.00021549314570254238,2.9945416141464785e-05,-7.195922470355661
2__PSTAT001,RMLE,RMLE,0.0,1.0,1.0,0.0
2__PSTAT001,RMLE,sRMLE,13056.0,1.3545145160813263e-07,1e-08,13.544626418301867
2__PSTAT001,RMLE,Bayes,13056.0,-9.093154330122182e-05,1.2068485573666455e-05,-7.534338945300293
2__PSTAT001,RMLE,Ada Bayes,13056.0,6.604177217382719e-05,1.6062843291664343e-05,4.111304689526601
2__PSTAT001,sRMLE,Persistent,13056.0,-0.0029694490445632275,0.00013008222362297848,-22.826603358836127
2__PSTAT001,sRMLE,AR Logit Default,13056.0,1.431468439776124e-07,8.332833852082382e-08,1.7177993031021939
2__PSTAT001,sRMLE,AR Flx Logit,13056.0,-8.627864185389091e-09,1e-08,-0.8627533761470974
2__PSTAT001,sRMLE,RLS,13056.0,-0.002071833720229183,0.00016177008796963756,-12.806782765531292
2__PSTAT001,sRMLE,sRLS,13056.0,-0.00021562859715415044,2.9947253408866797e-05,-7.200003827291205
2__PSTAT001,sRMLE,RMLE,13056.0,-1.3545145160813263e-07,1e-08,-13.544626418301867
2__PSTAT001,sRMLE,sRMLE,0.0,1.0,1.0,0.0
2__PSTAT001,sRMLE,Bayes,13056.0,-9.106699475282994e-05,1.2071554218141617e-05,-7.543643965563194
2__PSTAT001,sRMLE,Ada Bayes,13056.0,6.590632072221906e-05,1.6062602060597567e-05,4.102934035179336
2__PSTAT001,Bayes,Persistent,13056.0,-0.0028783820498103976,0.0001325987398315629,-21.706630237969847
2__PSTAT001,Bayes,AR Logit Default,13056.0,9.121014159680756e-05,1.2055648571970468e-05,7.5654700740488785
2__PSTAT001,Bayes,AR Flx Logit,13056.0,9.105836688864455e-05,1.2071308308314791e-05,7.543082926328069
2__PSTAT001,Bayes,RLS,13056.0,-0.001980766725476353,0.00016162397702884437,-12.254932120015193
2__PSTAT001,Bayes,sRLS,13056.0,-0.00012456160240132056,2.390361225439911e-05,-5.210795368600608
2__PSTAT001,Bayes,RMLE,13056.0,9.093154330122182e-05,1.2068485573666455e-05,7.534338945300293
2__PSTAT001,Bayes,sRMLE,13056.0,9.106699475282994e-05,1.2071554218141617e-05,7.543643965563194
2__PSTAT001,Bayes,Bayes,0.0,1.0,1.0,0.0
2__PSTAT001,Bayes,Ada Bayes,13056.0,0.000156973315475049,1.4016841371243609e-05,11.198479005594532
