,,CRPS,Skill_Avg
2__PSTAT001,Persistent,0.052139158317358776,0.0
2__PSTAT001,AR Logit Default,0.05057279374771228,0.030041999529651114
2__PSTAT001,AR Flx Logit,0.05057294552242044,0.030039088575330778
2__PSTAT001,RLS,0.05264477061478544,-0.009697362092980466
2__PSTAT001,sRLS,0.05078856549171041,0.02590361772676932
2__PSTAT001,RMLE,0.050573072346007865,0.03003665616960126
2__PSTAT001,sRMLE,0.05057293689455625,0.030039254052957813
2__PSTAT001,Bayes,0.0506640038893091,0.02829263984414096
2__PSTAT001,Ada Bayes,0.05050703057383404,0.031303300555608544
2__PSTAT002,Persistent,0.048829470400729,-1.4210463162843633e-16
2__PSTAT002,AR Logit Default,0.047400985904404246,0.02925455641033165
2__PSTAT002,AR Flx Logit,0.04737907245515721,0.02970333148544913
2__PSTAT002,RLS,0.050982982398223395,-0.044102710511114876
2__PSTAT002,sRLS,0.04758972453133583,0.025389295833416484
2__PSTAT002,RMLE,0.04737834025561769,0.029718326518848245
2__PSTAT002,sRMLE,0.04737895573636444,0.029705721820462223
2__PSTAT002,Bayes,0.04743911166431341,0.028473762361240464
2__PSTAT002,Ada Bayes,0.04744341150287178,0.02838570409390559
E_ABRTW-1,Persistent,0.021598335262596625,-3.212698487889392e-16
E_ABRTW-1,AR Logit Default,0.023076158566166512,-0.06842301897818703
E_ABRTW-1,AR Flx Logit,0.02202473776607405,-0.019742378210781106
E_ABRTW-1,RLS,0.022803690741715735,-0.05580779557610247
E_ABRTW-1,sRLS,0.02177782257508687,-0.008310238280312392
E_ABRTW-1,RMLE,0.022023082652379487,-0.019665746670690598
E_ABRTW-1,sRMLE,0.022023541475470077,-0.019686990117697607
E_ABRTW-1,Bayes,0.021894494881262078,-0.013712150268282049
E_ABRTW-1,Ada Bayes,0.02192219365922845,-0.01499459993996297
E_ASHWW-1,Persistent,0.0478539424826047,0.0
E_ASHWW-1,AR Logit Default,0.04797394544096129,-0.002507692201122438
E_ASHWW-1,AR Flx Logit,0.04786670665146054,-0.00026673181338146497
E_ASHWW-1,RLS,0.0511371399806175,-0.06860871492889574
E_ASHWW-1,sRLS,0.04802376084175771,-0.0035486806382721433
E_ASHWW-1,RMLE,0.04787248993731644,-0.00038758467431343604
E_ASHWW-1,sRMLE,0.04787170861031456,-0.00037125734658784073
E_ASHWW-1,Bayes,0.047919527013572646,-0.0013705146862619357
E_ASHWW-1,Ada Bayes,0.047631220357347355,0.004654206397692501
E_BABAW-1,Persistent,0.05065442265196882,2.739699138052471e-16
