,,,DM_n,DM_mean,DM_std,DM_statistics
2__PSTAT001,Persistent,Persistent,0.0,1.0,1.0,0.0
2__PSTAT001,Persistent,AR Logit Default,9158.0,0.003564725756193226,0.00013862688885056518,25.713129370812688
2__PSTAT001,Persistent,AR Flx Logit,9158.0,0.0035025278049242506,0.00013697178425106952,25.569766730335335
2__PSTAT001,Persistent,RLS,9158.0,0.00240760096169264,0.00021565301910411047,11.163625346587551
2__PSTAT001,Persistent,sRLS,9158.0,0.0034051236717514864,0.00014829557165254686,22.960481684971274
2__PSTAT001,Persistent,RMLE,9157.0,0.003503583776583971,0.00013697530737802002,25.576817691553945
2__PSTAT001,Persistent,sRMLE,9157.0,0.00350349881993838,0.00013698100584947772,25.575133510811245
2__PSTAT001,Persistent,Bayes,9158.0,0.003599832589939627,0.00013517911230600277,26.628640940496243
2__PSTAT001,Persistent,Ada Bayes,9157.0,0.0038362861263437037,0.00013401919087972734,28.62333836353614
2__PSTAT001,AR Logit Default,Persistent,9158.0,-0.003564725756193226,0.00013862688885056518,-25.713129370812688
2__PSTAT001,AR Logit Default,AR Logit Default,0.0,1.0,1.0,0.0
2__PSTAT001,AR Logit Default,AR Flx Logit,9158.0,-6.219795126897467e-05,5.5398654413861145e-06,-11.22672671533778
2__PSTAT001,AR Logit Default,RLS,9158.0,-0.0011571247945005854,0.00016947195440955253,-6.827451900111306
2__PSTAT001,AR Logit Default,sRLS,9158.0,-0.0001596020844417392,3.788362124003044e-05,-4.212727431362029
2__PSTAT001,AR Logit Default,RMLE,9157.0,-6.205408314705933e-05,5.549501010406961e-06,-11.181310643406091
2__PSTAT001,AR Logit Default,sRMLE,9157.0,-6.213903979264979e-05,5.548901651171187e-06,-11.197828079492913
2__PSTAT001,AR Logit Default,Bayes,9158.0,3.5106833746400755e-05,1.0162053408977414e-05,3.4545101812492387
2__PSTAT001,AR Logit Default,Ada Bayes,9157.0,0.00027064826661267363,1.817015657194984e-05,14.894394933840267
2__PSTAT001,AR Flx Logit,Persistent,9158.0,-0.0035025278049242506,0.00013697178425106952,-25.569766730335335
2__PSTAT001,AR Flx Logit,AR Logit Default,9158.0,6.219795126897467e-05,5.5398654413861145e-06,11.22672671533778
2__PSTAT001,AR Flx Logit,AR Flx Logit,0.0,1.0,1.0,0.0
2__PSTAT001,AR Flx Logit,RLS,9158.0,-0.0010949268432316108,0.00016985967345528767,-6.445715098393222
2__PSTAT001,AR Flx Logit,sRLS,9158.0,-9.740413317276453e-05,3.928847212599335e-05,-2.4790685352862103
2__PSTAT001,AR Flx Logit,RMLE,9157.0,1.2838722953299885e-07,3.798248157371098e-08,3.379985027045436
2__PSTAT001,AR Flx Logit,sRMLE,9157.0,4.3430583942553054e-08,4.824318196314553e-08,0.9001937821861455
2__PSTAT001,AR Flx Logit,Bayes,9158.0,9.730478501537542e-05,7.699658917998422e-06,12.63685487242215
2__PSTAT001,AR Flx Logit,Ada Bayes,9157.0,0.00033283073698926594,1.743054002514467e-05,19.093646120228986
2__PSTAT001,RLS,Persistent,9158.0,-0.00240760096169264,0.00021565301910411047,-11.163625346587551
2__PSTAT001,RLS,AR Logit Default,9158.0,0.0011571247945005854,0.00016947195440955253,6.827451900111306
2__PSTAT001,RLS,AR Flx Logit,9158.0,0.0010949268432316108,0.00016985967345528767,6.445715098393222
2__PSTAT001,RLS,RLS,0.0,1.0,1.0,0.0
2__PSTAT001,RLS,sRLS,9158.0,0.000997522710058846,0.00016419911508143962,6.0747480049277085
2__PSTAT001,RLS,RMLE,9157.0,0.001095174803121946,0.00016987454034460883,6.446610536218439
2__PSTAT001,RLS,sRMLE,9157.0,0.0010950898464763556,0.00016988575311317246,6.445684994460793
2__PSTAT001,RLS,Bayes,9158.0,0.001192231628246986,0.00017012421497262131,7.007624013457736
2__PSTAT001,RLS,Ada Bayes,9157.0,0.0014278771528816792,0.0001701293870721462,8.392431248347048
2__PSTAT001,sRLS,Persistent,9158.0,-0.0034051236717514864,0.00014829557165254686,-22.960481684971274
2__PSTAT001,sRLS,AR Logit Default,9158.0,0.0001596020844417392,3.788362124003044e-05,4.212727431362029
2__PSTAT001,sRLS,AR Flx Logit,9158.0,9.740413317276453e-05,3.928847212599335e-05,2.4790685352862103
2__PSTAT001,sRLS,RLS,9158.0,-0.000997522710058846,0.00016419911508143962,-6.0747480049277085
2__PSTAT001,sRLS,sRLS,0.0,1.0,1.0,0.0
2__PSTAT001,sRLS,RMLE,9157.0,9.743890313264132e-05,3.9294453855747825e-05,2.4795759443608967
2__PSTAT001,sRLS,sRMLE,9157.0,9.73539464870509e-05,3.930403955094555e-05,2.4768098046196014
2__PSTAT001,sRLS,Bayes,9158.0,0.00019470891818813992,3.9211891430424676e-05,4.965286811180172
2__PSTAT001,sRLS,Ada Bayes,9157.0,0.0004301412528923743,4.424659627362885e-05,9.720923222504549
2__PSTAT001,RMLE,Persistent,9157.0,-0.003503583776583971,0.00013697530737802002,-25.576817691553945
2__PSTAT001,RMLE,AR Logit Default,9157.0,6.205408314705933e-05,5.549501010406961e-06,11.181310643406091
2__PSTAT001,RMLE,AR Flx Logit,9157.0,-1.2838722953299885e-07,3.798248157371098e-08,-3.379985027045436
2__PSTAT001,RMLE,RLS,9157.0,-0.001095174803121946,0.00016987454034460883,-6.446610536218439
2__PSTAT001,RMLE,sRLS,9157.0,-9.743890313264132e-05,3.9294453855747825e-05,-2.4795759443608967
2__PSTAT001,RMLE,RMLE,0.0,1.0,1.0,0.0
2__PSTAT001,RMLE,sRMLE,9157.0,-8.495664559044579e-08,7.231545946017354e-08,-1.17474198749798
2__PSTAT001,RMLE,Bayes,9157.0,9.716574571344792e-05,7.695205771814308e-06,12.626100315578952
2__PSTAT001,RMLE,Ada Bayes,9157.0,0.00033270234975973294,1.7425770214973103e-05,19.09150520186082
2__PSTAT001,sRMLE,Persistent,9157.0,-0.00350349881993838,0.00013698100584947772,-25.575133510811245
2__PSTAT001,sRMLE,AR Logit Default,9157.0,6.213903979264979e-05,5.548901651171187e-06,11.197828079492913
2__PSTAT001,sRMLE,AR Flx Logit,9157.0,-4.3430583942553054e-08,4.824318196314553e-08,-0.9001937821861455
2__PSTAT001,sRMLE,RLS,9157.0,-0.0010950898464763556,0.00016988575311317246,-6.445684994460793
2__PSTAT001,sRMLE,sRLS,9157.0,-9.73539464870509e-05,3.930403955094555e-05,-2.4768098046196014
2__PSTAT001,sRMLE,RMLE,9157.0,8.495664559044579e-08,7.231545946017354e-08,1.17474198749798
2__PSTAT001,sRMLE,sRMLE,0.0,1.0,1.0,0.0
2__PSTAT001,sRMLE,Bayes,9157.0,9.725070235903837e-05,7.689731538302586e-06,12.646136155227653
2__PSTAT001,sRMLE,Ada Bayes,9157.0,0.0003327873064053234,1.7425057084084997e-05,19.097161811658847
2__PSTAT001,Bayes,Persistent,9158.0,-0.003599832589939627,0.00013517911230600277,-26.628640940496243
2__PSTAT001,Bayes,AR Logit Default,9158.0,-3.5106833746400755e-05,1.0162053408977414e-05,-3.4545101812492387
2__PSTAT001,Bayes,AR Flx Logit,9158.0,-9.730478501537542e-05,7.699658917998422e-06,-12.63685487242215
2__PSTAT001,Bayes,RLS,9158.0,-0.001192231628246986,0.00017012421497262131,-7.007624013457736
2__PSTAT001,Bayes,sRLS,9158.0,-0.00019470891818813992,3.9211891430424676e-05,-4.965286811180172
2__PSTAT001,Bayes,RMLE,9157.0,-9.716574571344792e-05,7.695205771814308e-06,-12.626100315578952
2__PSTAT001,Bayes,sRMLE,9157.0,-9.725070235903837e-05,7.689731538302586e-06,-12.646136155227653
2__PSTAT001,Bayes,Bayes,0.0,1.0,1.0,0.0
2__PSTAT001,Bayes,Ada Bayes,9157.0,0.000235536604046285,1.4502424159423441e-05,16.24030162768348
2__PSTAT001,Ada Bayes,Persistent,9157.0,-0.0038362861263437037,0.00013401919087972734,-28.62333836353614
2__PSTAT001,Ada Bayes,AR Logit Default,9157.0,-0.00027064826661267363,1.817015657194984e-05,-14.894394933840267
2__PSTAT001,Ada Bayes,AR Flx Logit,9157.0,-0.00033283073698926594,1.743054002514467e-05,-19.093646120228986
2__PSTAT001,Ada Bayes,RLS,9157.0,-0.0014278771528816792,0.0001701293870721462,-8.392431248347048
2__PSTAT001,Ada Bayes,sRLS,9157.0,-0.0004301412528923743,4.424659627362885e-05,-9.720923222504549
2__PSTAT001,Ada Bayes,RMLE,9157.0,-0.00033270234975973294,1.7425770214973103e-05,-19.09150520186082
2__PSTAT001,Ada Bayes,sRMLE,9157.0,-0.0003327873064053234,1.7425057084084997e-05,-19.097161811658847
2__PSTAT001,Ada Bayes,Bayes,9157.0,-0.000235536604046285,1.4502424159423441e-05,-16.24030162768348
2__PSTAT001,Ada Bayes,Ada Bayes,0.0,1.0,1.0,0.0
