Model,CRPS (2021),CRPS (2022),CRPS (2023),Skill (2021),Skill (2022),Skill (2023)
Persistence,3.7932953533762053,4.108422879811538,3.8146815059128465,9.155254977141668e-16,-1.3023516832697772e-15,5.768503977016902e-16
AR-$L$,3.6840346176389884,3.98711001758903,3.676119814034024,2.975088137773679,3.1062398741608868,3.750892919786364
AR-$L_\nu$,3.6706912377618166,3.975985227086692,3.6636521406444493,3.3391533175012826,3.4223588335343913,4.09624959515229
RLS,3.8060918661445617,4.176454027118534,3.730823696258641,-0.2462702841501387,-1.3774941189044159,2.345331712267171
sRLS,3.663065373435352,3.9788176162399997,3.659848610344365,3.5699538125717654,3.3903096733704627,4.214652063466859
RMLE,3.6697862926852407,3.9753283377353217,3.66229372948328,3.3673671836115795,3.44107409040737,4.143396595743393
sRMLE,3.670735887239888,3.9759117095627814,3.6638007160285313,3.3377258753961088,3.423891081153093,4.091342174451555
Bayes,3.657578080918599,3.9754703537643614,3.658135288692166,3.7054772182706315,3.447523275192508,4.2473207475664045
Bayes-$\nu$,3.6249143858638324,3.952765120906111,3.632488976790965,4.57592480988868,4.010270286533793,4.90114691252615
