Model,CRPS (2021),CRPS (2022),CRPS (2023),Skill (2021),Skill (2022),Skill (2023)
Persistence,3.675787779316861,3.9705862619403676,3.6969770055487476,1.8536529746531954e-15,9.254972885321555e-17,-3.5176163084100884e-17
AR-$L$,3.567280034961802,3.8450692641883286,3.5455004081403096,3.0082210413715136,3.361584574421763,4.459792878742029
AR-$L_\nu$,3.554345404456729,3.8319146892975233,3.532121483229342,3.374550909737878,3.713659917889059,4.834375159939675
RLS,3.6845395055239822,4.0192130805622135,3.5984554083096074,-0.17150816683143816,-0.668439778313228,3.032355738094141
sRLS,3.5454910359051297,3.82545769795586,3.5290530565629687,3.6538890556715664,4.324974978424036,4.927599421288894
RMLE,3.553401294509272,3.8310372077290094,3.530623548115431,3.4039891707111485,3.744762829076035,4.88435097101707
sRMLE,3.554389038844562,3.832054751071622,3.5322382178578797,3.373055485123854,3.70631613314326,4.830499162818361
Bayes,3.539463671573163,3.8223582108114202,3.5275558640511426,3.8151305612034463,4.365159074612494,4.963896051509102
Bayes-$\nu$,3.506187385358771,3.8020997229039106,3.50291120638473,4.745802261235141,4.870489042991671,5.617765832589291
